Movt.,1,2,3,4,5,6
1,9.65,75.44,358.07,19.28,20.02,21.58
2,13.88,43.15,366.62,37.81,240.02,461.63
3/i,108.70,284.87,68.05,202.56,75.43,252.23
3/ii,174.73,28.33,79.79,19.98,17.21,0.01
3/iii,17.55,120.87,28.40,38.57,102.57,32.46
3/iv,139.09,49.88,49.90,30.22,28.27,2.75
3/v,437.05,201.07,37.39,81.19,25.55,8.81
4/i,270.40,73.89,23.79,179.50,28.84,0.53
4/ii,47.92,156.76,18.41,19.89,16.03,5.29
4/iii,35.59,19.33,23.77,41.39,89.55,207.17
4/iv,114.29,116.99,313.19,124.69,85.87,1.13
4/v,284.69,170.20,8.83,52.12,1.50,47.74
5/i,14.26,31.01,27.16,34.80,19.50,0.42
5/ii,76.09,90.28,103.33,252.53,69.33,199.72
5/iii,130.86,79.08,25.17,328.69,192.29,199.49
5/iv,276.97,1292.80,126.83,32.11,352.17,224.34
5/v,169.95,473.73,246.98,170.75,226.01,0.17
6/i,176.24,355.21,29.12,37.71,34.69,14.81
6/ii,12.51,65.29,5.86,11.71,32.24,1.23
6/iii,448.28,13.25,59.85,79.73,87.61,800.92
6/iv,67.37,39.51,171.79,10.12,234.97,2.50
6/v,35.67,1.54,110.59,9.03,3.06,3.68
6/vi,11.73,457.32,44.90,84.80,45.22,59.89
7/i,72.99,355.89,12.07,167.95,90.66,429.31
7/ii,125.12,2.98,39.13,77.20,21.58,66.16
7/iii,152.04,151.51,54.46,194.90,48.85,1.98
7/iv,45.51,328.64,98.33,126.68,243.21,49.82
8/i,94.80,11.41,1.33,7.05,4.51,32.67
8/ii,22.30,77.82,27.05,14.82,6.37,47.98
10/i,1313.49,621.98,404.58,302.18,0.45,209.04
9/iii,126.81,135.45,224.35,185.04,92.42,0.57
9/iv,360.26,97.83,159.16,318.03,29.93,261.12
9/v,28.48,276.25,288.15,30.04,122.09,19.85
9/vi,44.93,181.96,176.28,50.26,13.30,40.26
10/ii,14.65,139.80,147.64,3.07,7.46,8.16
9/i,33.00,144.75,113.76,35.03,24.09,4.72
10/iv,637.91,43.25,399.69,48.70,75.00,7.23
10/iii,1178.67,671.69,1150.40,1053.05,571.23,1189.74
9/ii,208.34,92.96,105.11,92.03,57.40,5.49
10/v,12.73,62.14,73.14,15.13,154.75,1.68
13/ii,53.67,34.35,13.31,2.46,12.57,2.29
11/i,16.10,45.94,6.08,99.14,164.07,33.63
11/ii,9.57,12.42,114.26,115.95,32.60,79.82
11/iii,188.62,601.41,112.19,15.21,313.05,0.12
12/i,37.59,19.42,31.87,38.88,16.58,6.26
12/iii,9.17,26.46,47.74,11.59,25.55,3.57
12/iv,13.71,15.27,1.52,1.99,12.31,80.88
12/ii,9.66,29.53,62.89,13.73,6.72,55.46
13/i,14.03,7.20,26.56,3.64,0.92,2.57
14/iv,15.76,52.03,1.50,19.92,4.53,3.15
13/iii,3.06,15.86,8.89,30.05,0.98,12.99
15/v,1.63,8.24,20.29,9.51,10.26,4.10
13/iv,4.70,8.75,27.35,0.72,10.07,10.55
14/iii,6.87,22.26,2.40,11.28,10.80,0.20
14/vi,86.36,2.68,22.23,3.68,21.62,2.22
14/v,55.81,35.63,5.15,0.75,2.92,19.86
14/ii,18.11,0.01,23.21,11.65,40.14,3.43
14/i,54.60,92.93,10.07,9.99,6.40,2.14
15/i,6.26,16.06,8.78,6.03,2.68,102.74
15/iii,7.35,1.18,8.78,40.29,15.46,29.25
15/ii,2.04,40.95,25.49,12.32,14.90,0.01
15/iv,58.03,5.80,24.86,73.51,1.04,54.48
16/ii,13.02,41.62,0.85,35.89,0.15,0.21
16/iii,4.01,49.09,0.11,15.70,22.65,13.24
16/iv,152.65,52.52,95.04,27.30,30.10,0.11
16/v,13.28,15.45,48.79,0.14,39.55,2.71
16/i,111.95,237.80,26.97,5.92,20.66,0.10
17/i,45.67,34.49,46.15,1.86,17.14,0.04
17/iii,53.48,118.01,23.64,13.22,15.41,25.80
17/ii,7.75,23.29,88.44,0.96,10.43,9.39
18/i,7.80,10.39,1.37,0.95,7.09,18.75
18/ii,30.57,0.84,1.08,7.94,0.26,10.68
18/iii,0.58,5.26,3.96,4.11,5.59,0.03
19/i,16.03,0.06,1.29,8.98,11.38,0.41
19/ii,38.39,4.39,20.19,1.34,7.64,0.94
20/ii,9.49,10.76,4.20,7.47,15.47,0.05
20/i,13.62,50.34,40.25,67.79,23.79,0.04
21/ii,2.64,38.80,0.49,12.01,9.03,2.26
21/i,8.76,3.01,27.63,19.66,5.41,101.25
22/ii,2.86,11.55,15.64,12.19,13.08,2.44
22/i,3.48,4.84,2.39,11.23,17.55,0.37
23/iii,25.28,22.50,20.13,19.47,9.12,2.75
23/ii,20.11,2.89,10.28,1.47,14.42,4.98
23/i,1.34,15.42,2.90,1.89,15.90,3.05
24/i,2.28,2.88,12.68,8.19,2.90,0.42
25/i,29.41,9.45,11.75,15.11,8.78,24.33
24/ii,79.07,35.84,48.44,5.35,3.06,16.19
24/iii,3.90,0.87,2.06,4.84,6.20,0.08
25/iii,9.69,11.63,49.54,35.33,12.64,0.50
25/ii,14.40,2.13,9.41,13.11,4.06,0.56
26,20.85,0.06,6.25,22.60,19.42,0.22
27/iii,44.34,32.71,9.54,5.42,11.21,2.46
27/i,9.37,6.93,19.71,0.93,1.29,8.52
27/ii,16.80,191.97,52.26,17.78,107.31,71.13
28/iii,2.47,9.73,6.80,11.89,0.39,0.84
28/i,7.36,0.32,5.57,9.52,5.90,0.18
28/ii,4.95,2.20,4.61,0.89,5.51,0.08
29/ii,0.15,6.97,1.12,4.11,5.98,4.48
29/i,46.16,16.85,0.06,7.88,5.23,5.95
29/iii,2.74,10.31,2.66,10.95,0.26,1.14
30,3.82,0.69,17.36,3.77,3.19,0.07
31/iv,14.01,40.61,12.01,13.70,5.69,47.10
31/v,8.91,6.31,24.12,4.86,7.63,3.78
31/vi,7.32,31.66,8.96,11.25,5.50,777.14
31/i,34.74,69.02,43.92,14.84,69.61,0.00
31/ii,14.56,14.95,1.02,5.86,6.33,6.54
31/iii,1.41,1.56,1.62,7.32,2.21,1.01