Movt.,0,1,2,3,4,5,6,7,8,9,10,11
1,5.92,10.04,12.23,7.25,7.96,9.38,8.47,6.10,5.81,11.33,11.93,3.58
2,7.31,4.93,13.74,6.06,8.55,1.00,15.15,10.09,6.48,8.48,9.51,8.70
3/i,3.69,8.39,13.06,11.12,11.93,5.74,5.30,4.78,10.70,3.74,13.27,8.29
3/ii,5.81,8.44,8.74,9.24,11.55,11.26,8.70,6.44,10.37,8.85,4.77,5.84
3/iii,6.89,8.52,5.72,12.10,10.03,9.38,8.05,3.63,9.07,9.65,7.39,9.57
3/iv,7.58,6.62,5.93,6.49,6.18,8.57,10.06,11.10,11.34,5.88,9.75,10.51
3/v,6.88,9.93,12.17,10.75,14.88,10.23,4.31,4.84,3.76,7.14,9.49,5.62
4/i,5.84,9.77,9.70,8.85,14.77,10.79,5.99,6.90,6.48,3.73,6.86,10.31
4/ii,10.05,12.02,9.73,8.81,6.11,8.32,8.70,7.73,9.72,6.81,4.53,7.45
4/iii,7.61,7.38,6.19,13.09,6.66,12.09,7.05,8.17,8.40,7.05,6.90,9.41
4/iv,8.55,6.20,4.75,4.98,12.68,11.30,8.67,9.23,12.25,6.44,2.56,12.38
4/v,7.60,8.81,10.48,4.68,4.61,3.94,6.88,10.29,13.34,9.62,10.55,9.21
5/i,7.95,10.25,7.25,7.12,10.36,7.50,8.78,10.07,9.45,6.97,6.53,7.76
5/ii,11.63,6.44,5.37,11.09,10.38,11.99,8.59,6.98,3.94,12.52,3.04,8.05
5/iii,7.49,18.11,3.98,8.49,8.17,4.37,5.96,9.86,8.18,6.91,9.17,9.33
5/iv,15.39,7.84,6.42,4.88,14.62,7.94,15.43,4.01,2.03,0.91,3.60,16.94
5/v,15.74,16.54,2.91,4.67,7.48,10.40,5.90,8.25,8.41,2.33,9.76,7.60
6/i,5.77,6.63,6.52,8.23,7.67,8.93,6.21,3.80,7.89,10.35,14.00,13.98
6/ii,8.32,9.30,6.97,6.98,6.32,10.48,10.15,8.55,9.37,6.47,8.32,8.76
6/iii,6.92,4.24,9.15,4.46,12.05,6.62,17.18,8.37,10.93,10.26,7.92,1.90
6/iv,10.17,5.97,5.16,11.89,10.08,12.55,4.93,9.23,10.39,4.33,8.48,6.82
6/v,10.05,9.85,5.23,6.61,8.71,8.79,6.78,7.87,9.81,10.19,8.47,7.64
6/vi,8.56,8.13,6.06,6.38,10.52,11.86,9.94,5.98,4.51,3.42,14.26,10.35
7/i,5.44,9.62,5.44,17.44,8.61,9.29,6.12,4.08,6.34,12.91,7.70,7.02
7/ii,12.26,9.90,7.09,10.03,7.66,6.55,5.06,7.91,6.13,11.12,7.73,8.56
7/iii,13.57,7.51,2.59,8.33,7.02,8.79,7.99,5.75,6.24,12.02,11.88,8.30
7/iv,6.13,12.90,9.64,11.52,5.05,4.97,5.62,8.20,15.29,5.13,4.74,10.80
8/i,11.23,9.07,8.74,7.66,6.42,6.18,7.85,6.97,9.31,8.09,9.31,9.17
8/ii,8.73,8.51,5.46,7.85,9.45,11.46,7.92,9.92,7.66,6.38,7.32,9.36
10/i,7.11,5.96,4.70,6.02,1.61,6.77,2.29,7.11,19.95,22.82,7.11,8.55
9/iii,7.05,9.02,8.67,3.98,6.10,6.55,12.88,15.11,4.18,9.86,10.74,5.86
9/iv,5.01,6.85,6.12,4.45,11.88,6.68,16.70,13.36,6.12,5.57,12.25,5.01
9/v,8.93,4.96,3.97,6.94,13.88,8.59,9.92,8.10,9.58,4.63,5.95,14.55
9/vi,10.53,6.85,6.85,10.66,7.99,3.81,7.61,11.17,13.45,8.88,6.73,5.46
10/ii,8.27,9.44,9.54,9.15,5.72,4.31,8.89,12.11,9.07,6.01,7.07,10.41
9/i,9.27,12.57,9.50,6.65,5.68,6.43,12.39,8.00,5.62,7.39,8.62,7.87
10/iv,9.93,11.35,3.50,3.03,4.68,7.33,9.22,2.36,10.12,15.60,13.90,8.98
10/iii,6.96,12.30,11.76,3.94,34.05,7.53,1.09,1.09,6.54,6.23,6.85,1.66
9/ii,14.02,5.84,8.46,12.44,8.51,8.73,5.68,6.06,4.75,6.77,7.42,11.35
10/v,8.63,8.34,11.97,6.16,7.01,7.39,7.01,10.52,6.38,11.66,9.64,5.28
13/ii,7.37,9.29,8.94,9.88,8.81,7.57,7.37,6.15,6.76,7.81,9.99,10.06
11/i,6.47,6.97,14.18,5.97,10.28,7.96,7.21,7.80,8.78,9.45,5.97,8.96
11/ii,6.10,9.61,9.72,6.32,8.13,8.36,8.59,9.04,8.36,7.46,13.56,4.75
11/iii,12.46,5.19,7.27,11.07,6.92,15.57,11.07,8.30,1.38,1.04,10.73,9.00
12/i,7.72,8.25,6.96,7.01,6.64,10.08,11.28,7.25,9.04,9.95,7.10,8.72
12/iii,7.66,7.78,6.64,8.54,10.90,9.15,7.91,7.54,9.26,7.49,6.68,10.43
12/iv,9.46,7.30,9.45,8.07,8.11,7.01,7.81,7.51,9.15,8.75,10.52,6.86
12/ii,6.29,9.03,9.78,10.57,6.28,9.69,8.14,6.85,7.04,9.95,8.74,7.62
13/i,8.76,10.01,9.74,6.96,7.53,8.56,8.06,7.63,7.86,8.29,8.85,7.76
14/iv,10.61,8.64,8.06,8.36,7.62,9.65,9.81,6.95,7.45,6.83,7.34,8.68
13/iii,7.83,9.42,8.71,7.39,7.52,10.13,7.83,8.71,9.49,7.64,6.82,8.51
15/v,9.59,8.10,9.12,7.19,7.57,9.94,8.54,7.22,7.74,8.62,8.45,7.92
13/iv,8.25,8.82,9.81,8.69,6.22,8.38,8.22,9.05,7.11,8.67,8.77,8.02
14/iii,8.61,9.39,7.32,8.58,8.79,8.34,9.99,7.62,6.75,7.59,8.34,8.73
14/vi,8.25,9.40,5.99,5.90,7.85,7.26,8.74,8.19,10.73,9.82,9.18,8.69
14/v,10.37,8.54,8.56,6.11,6.83,6.61,8.07,9.13,10.05,8.75,8.35,8.63
14/ii,7.82,7.23,8.50,7.13,10.42,8.42,8.67,8.52,9.62,8.72,5.88,9.06
14/i,10.75,10.13,8.90,9.03,7.52,7.44,10.15,8.20,7.25,5.48,6.15,8.98
15/i,6.42,8.77,8.25,9.72,6.03,8.63,7.63,8.93,8.55,9.89,8.05,9.13
15/iii,8.16,8.23,7.41,8.16,7.31,9.01,8.95,7.44,9.34,10.03,6.13,9.83
15/ii,8.50,8.24,7.28,7.17,10.73,9.33,7.57,7.09,8.23,7.91,7.64,10.31
15/iv,7.38,6.67,7.26,7.86,9.29,6.31,10.24,10.36,8.10,8.81,11.43,6.31
16/ii,8.99,11.06,8.99,7.37,8.29,7.14,7.83,9.68,7.83,7.14,8.29,7.37
16/iii,8.15,10.48,7.13,8.73,6.84,6.84,9.75,9.32,9.17,8.73,7.13,7.71
16/iv,12.83,6.96,8.94,8.55,6.96,5.70,7.62,8.39,5.76,7.40,8.06,12.83
16/v,9.30,9.55,7.77,7.22,6.13,9.86,8.93,7.04,8.00,8.05,10.70,7.45
16/i,7.89,12.77,10.59,8.41,5.92,4.67,5.61,7.17,11.21,10.07,8.93,6.75
17/i,6.23,6.63,7.50,9.44,10.42,6.76,8.29,9.92,10.39,8.81,7.26,8.34
17/iii,8.78,12.99,9.56,9.40,6.01,6.48,8.06,7.69,8.33,9.15,6.72,6.83
17/ii,6.98,9.77,8.68,7.87,7.07,9.76,9.74,6.13,6.18,8.70,9.82,9.30
18/i,7.29,7.56,8.25,8.59,8.66,7.97,8.73,7.97,9.62,8.11,9.62,7.63
18/ii,9.04,7.35,8.57,7.58,7.37,7.28,8.14,7.84,9.55,9.06,8.96,9.26
18/iii,9.24,7.52,7.75,8.17,8.95,8.68,8.40,8.43,7.76,8.87,7.81,8.41
19/i,7.83,8.76,8.12,9.44,8.93,8.18,9.90,7.50,7.85,8.07,7.68,7.72
19/ii,7.47,7.19,8.04,8.27,6.67,8.04,9.07,10.44,8.73,8.78,9.53,7.76
20/ii,7.31,8.04,7.13,10.01,9.02,8.15,8.40,8.58,8.91,7.88,9.11,7.44
20/i,12.83,9.36,6.43,8.18,8.44,8.93,8.46,8.34,6.33,8.50,7.41,6.80
21/ii,8.79,9.36,9.13,6.76,7.35,8.09,9.41,8.21,8.92,7.33,7.15,9.49
21/i,9.80,7.75,8.28,8.28,10.86,7.30,7.93,8.73,9.44,6.95,8.73,5.97
22/ii,6.77,8.88,8.13,9.58,9.59,7.04,7.65,8.81,8.82,7.57,8.26,8.90
22/i,7.42,9.24,7.73,7.73,8.18,8.18,8.48,8.48,10.00,7.58,7.88,9.09
23/iii,8.21,8.00,7.98,8.55,8.83,7.45,9.31,11.66,7.71,7.73,7.13,7.45
23/ii,8.46,8.61,9.07,7.45,6.76,8.30,7.22,9.07,7.84,9.45,9.53,8.23
23/i,7.65,8.43,8.12,9.92,8.88,7.20,8.43,7.44,9.28,8.17,8.52,7.98
24/i,8.42,7.24,8.15,9.65,7.63,7.64,8.60,9.16,8.33,8.56,8.54,8.07
25/i,8.34,8.35,8.20,5.60,7.80,8.41,9.40,7.72,10.52,8.67,8.20,8.79
24/ii,8.25,7.44,6.04,5.73,7.14,11.07,9.15,8.15,8.35,10.97,9.05,8.65
24/iii,8.33,7.90,7.73,8.61,7.65,9.00,8.81,7.73,8.93,8.73,8.69,7.89
25/iii,7.61,6.80,8.47,10.12,9.11,5.75,9.69,10.13,7.43,8.91,8.03,7.94
25/ii,8.20,9.15,7.29,8.98,9.90,8.54,8.17,8.76,8.13,6.90,7.93,8.05
26,8.58,10.38,6.67,8.15,8.03,7.03,8.34,7.61,8.48,8.93,9.66,8.13
27/iii,8.10,10.40,9.91,9.78,7.43,7.99,8.12,8.83,8.11,5.79,7.55,7.99
27/i,8.58,9.49,8.76,7.85,8.76,8.94,8.76,7.85,8.76,8.03,7.85,6.39
27/ii,12.05,8.43,8.43,2.41,8.43,8.43,12.05,8.43,6.63,9.64,6.63,8.43
28/iii,9.04,7.84,8.27,8.08,7.74,9.19,8.75,6.78,7.94,8.95,8.71,8.71
28/i,8.50,7.87,8.12,7.93,8.14,7.88,8.11,7.90,9.42,9.15,7.50,9.48
28/ii,7.32,7.81,7.87,8.98,8.18,8.07,9.19,8.25,8.64,8.46,8.67,8.56
29/ii,8.47,7.82,8.19,8.06,7.96,9.84,7.82,8.23,7.94,8.39,8.57,8.71
29/i,8.97,10.63,9.84,7.93,8.62,7.14,8.01,7.75,7.93,6.71,7.84,8.62
29/iii,8.05,8.30,8.22,7.14,8.07,8.78,8.70,8.80,8.45,7.25,9.05,9.20
30,8.22,9.56,8.50,8.48,7.80,8.51,9.20,7.40,7.48,8.50,8.67,7.68
31/iv,6.86,10.29,9.80,9.31,6.37,7.84,6.37,9.31,8.33,8.33,8.82,8.33
31/v,8.24,9.67,7.60,8.59,9.64,8.09,7.90,8.86,9.08,7.53,6.57,8.24
31/vi,5.63,10.74,6.14,10.49,5.88,12.53,6.65,9.21,5.12,9.21,6.65,11.76
31/i,8.52,5.78,10.23,8.69,6.40,9.56,6.31,7.04,6.80,10.10,11.76,8.81
31/ii,7.52,8.87,8.72,9.77,8.72,9.02,6.92,7.07,8.57,7.97,8.27,8.57
31/iii,8.57,7.43,8.79,8.96,8.09,8.66,8.18,8.18,9.01,8.18,7.87,8.09